day_number,reading_text,memory_verse
123,使徒行传第 16 章,
124,使徒行传第 17 章,
125,使徒行传第 18 章,
126,使徒行传第 19 章,
128,使徒行传第 20 章,
129,使徒行传第 21 章,
130,使徒行传第 22 章,
131,使徒行传第 23 章,
132,使徒行传第 24 章,
133,使徒行传第 25 章,
135,使徒行传第 26 章,
136,使徒行传第 27 章,
137,使徒行传第 28 章,
138,诗篇第 1 章,
139,诗篇第 2 章,
140,诗篇第 3 章,
142,诗篇第 4 章,
143,诗篇第 5 章,
144,诗篇第 6 章,
145,诗篇第 7 章,
146,诗篇第 8 章,
147,诗篇第 9 章,
149,诗篇第 10 章,
150,诗篇第 11 章,
151,诗篇第 12 章,
152,诗篇第 13 章,
153,诗篇第 14 章,
154,诗篇第 15 章,
156,诗篇第 16 章,
157,诗篇第 17 章,
158,诗篇第 18 章,
159,诗篇第 19 章,
160,诗篇第 20 章,
161,诗篇第 21 章,
163,诗篇第 22 章,
164,诗篇第 23 章,
165,诗篇第 24 章,
166,诗篇第 25 章,
167,诗篇第 26 章,
168,诗篇第 27 章,
170,诗篇第 28 章,
171,诗篇第 29 章,
172,诗篇第 30 章,
173,诗篇第 31 章,
174,诗篇第 32 章,
175,诗篇第 33 章,
177,诗篇第 34 章,
178,诗篇第 35 章,
179,诗篇第 36 章,
180,诗篇第 37 章,
181,诗篇第 38 章,
182,诗篇第 39 章,
184,诗篇第 40 章,
185,诗篇第 41 章,
186,诗篇第 42 章,
187,诗篇第 43 章,
188,诗篇第 44 章,
189,诗篇第 45 章,
191,诗篇第 46 章,
192,诗篇第 47 章,
193,诗篇第 48 章,
194,诗篇第 49 章,
195,诗篇第 50 章,
196,诗篇第 51 章,
198,诗篇第 52 章,
199,诗篇第 53 章,
200,诗篇第 54 章,
201,诗篇第 55 章,
202,诗篇第 56 章,
203,诗篇第 57 章,
205,诗篇第 58 章,
206,诗篇第 59 章,
207,诗篇第 60 章,
208,诗篇第 61 章,
209,诗篇第 62 章,
210,诗篇第 63 章,
212,诗篇第 64 章,
213,诗篇第 65 章,
214,诗篇第 66 章,
215,诗篇第 67 章,
216,诗篇第 68 章,
217,诗篇第 69 章,
219,诗篇第 70 章,
220,诗篇第 71 章,
221,诗篇第 72 章,
222,诗篇第 73 章,
223,诗篇第 74 章,
224,诗篇第 75 章,
226,诗篇第 76 章,
227,诗篇第 77 章,
228,诗篇第 78 章,
229,诗篇第 79 章,
230,诗篇第 80 章,
231,诗篇第 81 章,
233,诗篇第 82 章,
234,诗篇第 83 章,
235,诗篇第 84 章,
236,诗篇第 85 章,
237,诗篇第 86 章,
238,诗篇第 87 章,
240,诗篇第 88 章,
241,诗篇第 89 章,
242,诗篇第 90 章,
243,诗篇第 91 章,
244,诗篇第 92 章,
245,诗篇第 93 章,
247,诗篇第 94 章,
248,诗篇第 95 章,
249,诗篇第 96 章,
250,诗篇第 97 章,
251,诗篇第 98 章,
252,诗篇第 99 章,
254,诗篇第 100 章,
255,诗篇第 101 章,
256,诗篇第 102 章,
257,诗篇第 103 章,
258,诗篇第 104 章,
259,诗篇第 105 章,
261,诗篇第 106 章,
262,诗篇第 107 章,
263,诗篇第 108 章,
264,诗篇第 109 章,
265,诗篇第 110 章,
266,诗篇第 111 章,
268,诗篇第 112 章,
269,诗篇第 113 章,
270,诗篇第 114 章,
271,诗篇第 115 章,
272,诗篇第 116 章,
273,诗篇第 117 章,
275,诗篇第 118 章,
276,诗篇第 119 章 1-32 节,
277,诗篇第 119 章 33-72 节,
278,诗篇第 119 章 73-120 节,
279,诗篇第 119 章 121-152 节,
280,诗篇第 119 章 153-176节,
282,诗篇第 120 章,
283,诗篇第 121 章,
284,诗篇第 122 章,
285,诗篇第 123 章,
286,诗篇第 124 章,
287,诗篇第 125 章,
289,诗篇第 126 章,
290,诗篇第 127 章,
291,诗篇第 128 章,
292,诗篇第 129 章,
293,诗篇第 130 章,
294,诗篇第 131 章,
296,诗篇第 132 章,
297,诗篇第 133 章,
298,诗篇第 134 章,
299,诗篇第 135 章,
300,诗篇第 136 章,
301,诗篇第 137 章,
303,诗篇第 138 章,
304,诗篇第 139 章,
305,诗篇第 140 章,
306,诗篇第 141 章,
307,诗篇第 142 章,
308,诗篇第 143 章,
310,诗篇第 144 章,
311,诗篇第 145 章,
312,诗篇第 146 章,
313,诗篇第 147 章,
314,诗篇第 148 章,
315,诗篇第 149 章,
317,诗篇第 150 章,
318,箴言第 1 章,
319,箴言第 2 章,
320,箴言第 3 章,
321,箴言第 4 章,
322,箴言第 5 章,
324,箴言第 6 章 1-19 节,
325,箴言第 6 章 20-35 节,
326,箴言第 7 章,
327,箴言第 8 章,
328,箴言第 9 章,
329,箴言第 10 章,
331,箴言第 11 章,
332,箴言第 12 章,
333,箴言第 13 章,
334,箴言第 14 章,
335,箴言第 15 章,
336,箴言第 16 章,
338,箴言第 17 章,
339,箴言第 18 章,
340,箴言第 19 章,
341,箴言第 20 章,
342,箴言第 21 章,
343,箴言第 22 章 1-16 节,
345,箴言第 22 章 17-29 节,
346,箴言第 23 章,
347,箴言第 24 章 1-22 节,
348,箴言第 24 章 23-34 节,
349,箴言第 25 章 1-14 节,
350,箴言第 25 章 15-28 节,
352,箴言第 26 章,
353,箴言第 27 章 1-10 节,
354,箴言第 27 章 11-28 节,
355,箴言第 28 章 1-14 节,
356,箴言第 28 章 15-28 节,
357,箴言第 29 章 1-14 节,
360,箴言第 29 章 15-27 节,
361,箴言第 30 章 1-14 节,
362,箴言第 30 章 15-33 节,
363,箴言第 31 章 1-9 节,
364,箴言第 31 章 10-31 节,
